Frequency [Hz],Vrms [V],Error in Vrms [V],Irms [mA],Error in Irms [mA],Z [Ohms],Error in Z [Ohms]
208,7.76,0.039,4.63,0.035,1.676,0.015
220,7.76,0.039,4.89,0.037,1.587,0.014
235,7.75,0.039,5.23,0.039,1.482,0.013
255,7.75,0.039,5.67,0.043,1.367,0.012
280,7.74,0.039,6.22,0.047,1.244,0.011
310,7.74,0.039,6.87,0.052,1.127,0.010
350,7.73,0.039,7.72,0.058,1.001,0.009
420,7.71,0.039,9.28,0.07,0.831,0.008
560,7.78,0.039,12.48,0.094,0.623,0.006
1200,7.69,0.038,26.36,0.02,0.292,0.001
