x-axis,1,2
second,Volt,Volt
-25.00000E-03,+357.81251E-03,+177.73438E-03
-24.97500E-03,+355.85938E-03,+177.73438E-03
-24.95000E-03,+354.68751E-03,+177.34375E-03
-24.92500E-03,+353.12501E-03,+177.73438E-03
-24.90000E-03,+350.78126E-03,+176.95313E-03
-24.87500E-03,+349.21876E-03,+176.95313E-03
-24.85000E-03,+346.48438E-03,+175.78125E-03
-24.82500E-03,+344.14063E-03,+176.17188E-03
-24.80000E-03,+340.23438E-03,+175.00000E-03
-24.77500E-03,+338.67188E-03,+175.39063E-03
-24.75000E-03,+335.15625E-03,+173.43750E-03
-24.72500E-03,+333.59375E-03,+174.60938E-03
-24.70000E-03,+330.46875E-03,+172.26563E-03
-24.67500E-03,+328.90625E-03,+173.43750E-03
-24.65000E-03,+325.00000E-03,+171.48438E-03
-24.62500E-03,+323.43750E-03,+172.65625E-03
-24.60000E-03,+319.14063E-03,+170.31250E-03
-24.57500E-03,+317.18750E-03,+171.48438E-03
-24.55000E-03,+313.28125E-03,+169.14063E-03
-24.52500E-03,+311.71875E-03,+170.31250E-03
-24.50000E-03,+306.25000E-03,+168.75000E-03
-24.47500E-03,+303.90625E-03,+169.92188E-03
-24.45000E-03,+297.26563E-03,+167.96875E-03
-24.42500E-03,+296.48438E-03,+168.75000E-03
-24.40000E-03,+293.75000E-03,+167.18750E-03
-24.37500E-03,+291.79688E-03,+167.96875E-03
-24.35000E-03,+283.98438E-03,+166.79688E-03
-24.32500E-03,+282.81250E-03,+167.18750E-03
-24.30000E-03,+277.34375E-03,+166.01563E-03
-24.27500E-03,+276.56250E-03,+166.79688E-03
-24.25000E-03,+271.48438E-03,+164.84375E-03
-24.22500E-03,+269.53125E-03,+166.01563E-03
-24.20000E-03,+262.10938E-03,+164.06250E-03
-24.17500E-03,+259.37500E-03,+164.84375E-03
-24.15000E-03,+253.90625E-03,+162.50000E-03
-24.12500E-03,+251.95313E-03,+163.67188E-03
-24.10000E-03,+246.09375E-03,+161.32813E-03
-24.07500E-03,+244.14063E-03,+162.10938E-03
-24.05000E-03,+238.28125E-03,+160.54688E-03
-24.02500E-03,+236.32813E-03,+160.93750E-03
-24.00000E-03,+231.25000E-03,+159.37500E-03
-23.97500E-03,+229.29688E-03,+160.15625E-03
-23.95000E-03,+221.48438E-03,+157.81250E-03
-23.92500E-03,+219.14063E-03,+158.59375E-03
-23.90000E-03,+214.45313E-03,+156.64063E-03
-23.87500E-03,+212.50000E-03,+157.42188E-03
-23.85000E-03,+205.85938E-03,+155.46875E-03
