Light Colour,Frequency [Hz],Stopping Potential [V],Error in Stopping Potential [V]
Yellow,5.19,0.725,0.0036
Green,5.49,0.860,0.0043
Blue,6.88,1.448,0.0072
Violet One,7.41,1.661,0.0083
Violet Two,8.2,1.982,0.0099
